,danceability,energy,speechiness,acousticness,valence,tempo_scale,reggaeton
61,0.608,0.73,0.033,0.0058,0.48,0.2794397132076308,1
62,0.794,0.69,0.149,0.0327,0.898,0.3809639902703361,1
64,0.753,0.804,0.06,0.00165,0.794,0.34020024490383916,1
65,0.796,0.589,0.0749,0.274,0.764,0.34042741814837185,1
66,0.79,0.551,0.227,0.221,0.787,0.8072850580954016,1
67,0.761,0.728,0.0837,0.0269,0.852,0.3454252295280892,1
68,0.843,0.678,0.1,0.0282,0.641,0.4055818128424914,1
69,0.775,0.906,0.221,0.0628,0.425,0.4137988353215609,1
1,0.588,0.623,0.0304,0.000288,0.169,0.567456601599078,0
2,0.577,0.88,0.0357,0.335,0.259,0.5228974008056338,0
4,0.557,0.703,0.0277,0.203,0.228,0.6452717490677586,0
8,0.766,0.948,0.0634,0.205,0.676,0.5008228104100754,0
9,0.467,0.975,0.0502,0.04,0.469,0.7888618620448916,0
10,0.695,0.797,0.0548,0.00259,0.297,0.5063913253065453,0
11,0.562,0.955,0.0399,0.0772,0.316,0.5066240393619202,0
14,0.639,0.973,0.107,0.00403,0.168,0.5345053995201657,0
15,0.704,0.738,0.0358,0.0212,0.909,0.5232076862128004,0
16,0.791,0.679,0.0511,0.0129,0.73,0.48988524980745685,0
17,0.628,0.869,0.051,0.0312,0.446,0.5400240471190554,0
18,0.756,0.833,0.0411,0.00381,0.141,0.5010389020329234,0
19,0.791,0.737,0.0531,0.00541,0.392,0.5066683658486584,0
21,0.658,0.938,0.0589,0.00165,0.645,0.5063026723330692,0
22,0.591,0.913,0.0479,0.0277,0.66,0.5176114672621192,0
23,0.792,0.831,0.0446,0.00144,0.0603,0.5175782223970656,0
26,0.624,0.923,0.0335,0.0268,0.402,0.5065132231450751,0
27,0.58,0.995,0.0754,0.00192,0.111,0.5231910637802736,0
28,0.677,0.846,0.0567,0.044,0.528,0.49006255575440916,0
30,0.797,0.871,0.0353,0.186,0.653,0.5177001202355953,0
32,0.527,0.914,0.0475,0.0113,0.522,0.5229306456706874,0
33,0.557,0.841,0.0426,0.106,0.188,0.5230414618875326,0
34,0.81,0.9,0.0466,0.000683,0.111,0.4954703871364535,0
35,0.489,0.641,0.032,0.00598,0.587,0.41734495426060647,0
36,0.711,0.987,0.125,0.0702,0.558,0.512103901284914,0
37,0.815,0.669,0.0355,0.0242,0.317,0.48983538250987646,0
40,0.814,0.951,0.0715,0.0118,0.264,0.3902060627552236,0
41,0.596,0.905,0.0515,0.0743,0.692,0.6172574094492987,0
42,0.621,0.831,0.038,0.185,0.527,0.5117880750669053,0
43,0.516,0.86,0.0494,0.0526,0.35,0.7773480571146781,0
44,0.484,0.756,0.0579,0.00209,0.239,0.5891045495597826,0
46,0.681,0.774,0.0787,0.0992,0.267,0.38422752785642655,0
48,0.619,0.805,0.0452,0.29,0.354,0.5233849921597525,0
50,0.496,0.03,0.058,0.995,0.39,0.35738229932568333,0
51,0.656,0.175,0.217,0.977,0.452,0.2507992619639958,0
53,0.441,0.00753,0.0447,0.992,0.279,0.2563123687520431,0
54,0.721,0.0285,0.0999,0.996,0.261,0.36473495531336053,0
56,0.606,0.0821,0.0474,0.991,0.536,0.4350644673341497,0
59,0.653,0.0116,0.0583,0.995,0.471,0.4264208024202262,0
61,0.542,0.0783,0.0506,0.996,0.269,0.588772100909247,0
62,0.438,0.0285,0.0507,0.996,0.273,0.3684916250644119,0
64,0.565,0.0237,0.0356,0.994,0.0602,0.3460790452074757,0
65,0.356,0.0199,0.0645,0.994,0.326,0.2546999927969459,0
66,0.473,0.0998,0.0524,0.987,0.158,0.4836906232858117,0
67,0.131,0.0666,0.0365,0.955,0.0468,0.36493442450368185,0
68,0.505,0.0409,0.0472,0.996,0.31,0.7688539940934956,0
69,0.407,0.0987,0.0721,0.99,0.197,0.7203331135478366,0
70,0.73,0.064,0.109,0.996,0.326,0.3570775547293591,0
71,0.639,0.0291,0.0646,0.996,0.43,0.22769408075177722,0
73,0.481,0.0067,0.042,0.995,0.21,0.19643836679059612,0
74,0.639,0.0169,0.056,0.995,0.732,0.3581580128435995,0
75,0.601,0.0235,0.0525,0.991,0.346,0.2568165825386887,0
76,0.575,0.00989,0.0523,0.996,0.605,0.17931172047717464,0
77,0.522,0.0153,0.0511,0.995,0.349,0.5070617634184587,0
78,0.536,0.0593,0.0448,0.993,0.247,0.21443492040625223,0
79,0.542,0.022,0.0426,0.994,0.168,0.4289141672992426,0
80,0.428,0.0648,0.05,0.995,0.28,0.42376121321594196,0
81,0.24,0.0571,0.059,0.987,0.229,0.18737360025266098,0
82,0.715,0.0411,0.0461,0.985,0.697,0.319289224785155,0
83,0.35,0.0256,0.0334,0.957,0.071,0.24426664598097286,0
84,0.508,0.113,0.0727,0.994,0.248,0.523434859457333,0
85,0.374,0.00905,0.0552,0.995,0.405,0.2382271621629109,0
87,0.588,0.026,0.0506,0.993,0.202,0.24462125787487737,0
88,0.514,0.0282,0.0693,0.995,0.244,0.3459460657472615,0
89,0.555,0.0306,0.0545,0.995,0.474,0.44949273876739126,0
90,0.461,0.028,0.0619,0.994,0.406,0.22203137207098883,0
91,0.588,0.0185,0.0542,0.992,0.5,0.4847821630217366,0
92,0.54,0.0371,0.049,0.995,0.519,0.25350871846586026,0
93,0.475,0.0516,0.123,0.989,0.259,0.22353293180924094,0
94,0.377,0.027,0.0368,0.992,0.13,0.5428110749727114,0
95,0.448,0.0197,0.0442,0.995,0.148,0.5447392771458175,0
97,0.57,0.0743,0.0539,0.988,0.231,0.27388782074368767,0
99,0.394,0.0281,0.0666,0.995,0.301,0.925514879847517,0
101,0.419,0.00181,0.0408,0.993,0.146,0.2010372397896708,0
102,0.6,0.0185,0.0599,0.994,0.214,0.25717119443259323,0
103,0.392,0.0664,0.0462,0.995,0.152,0.22812626399747343,0
104,0.401,0.00641,0.0459,0.987,0.303,0.19759639625662817,0
105,0.652,0.0796,0.118,0.992,0.25,0.16559267283174223,0
106,0.546,0.00574,0.0397,0.991,0.386,0.21286133012705077,0
107,0.729,0.0425,0.068,0.995,0.475,0.36843621695598927,0
109,0.603,0.0945,0.0366,0.968,0.0727,0.21272835066683654,0
110,0.522,0.00251,0.112,0.994,0.732,0.2128945749921043,0
111,0.442,0.0293,0.0495,0.996,0.25,0.18659788673474476,0
112,0.517,0.014,0.084,0.996,0.0462,0.18066367832268576,0
113,0.408,0.0126,0.0517,0.996,0.132,0.26257902581463766,0
114,0.401,0.0652,0.0476,0.993,0.157,0.9198078446799904,0
116,0.283,0.0425,0.0497,0.994,0.285,0.9104217111132042,0
118,0.298,0.0366,0.0465,0.994,0.282,0.2140415228364519,0
119,0.634,0.0333,0.0427,0.992,0.144,0.468852331850243,0
120,0.467,0.0272,0.0399,0.995,0.524,0.29663839006200166,0
121,0.555,0.0404,0.0594,0.993,0.456,0.4713456967292594,0
122,0.344,0.0683,0.0418,0.991,0.252,0.21294998310052693,0
124,0.541,0.0132,0.0429,0.996,0.154,0.22986607860194258,0
125,0.679,0.0159,0.0382,0.995,0.0947,0.3901617362684856,0
126,0.33,0.005,0.0499,0.994,0.0749,0.2852852686462136,0
127,0.588,0.0891,0.044,0.99,0.271,0.17964416912771014,0
128,0.349,0.0205,0.0425,0.995,0.0396,0.19616686705932546,0
129,0.472,0.0294,0.0514,0.996,0.144,0.21741033582854508,0
130,0.298,0.0873,0.0598,0.994,0.407,0.9876162877675521,0
131,0.35,0.0262,0.0398,0.994,0.0556,0.3684472985776738,0
132,0.433,0.187,0.0343,0.958,0.35,0.5813972816782007,0
133,0.529,0.0565,0.0551,0.987,0.261,0.28743510325301,0
136,0.514,0.132,0.0604,0.994,0.12,0.5456202660697366,0
137,0.573,0.0198,0.0449,0.993,0.284,0.15735348710930358,0
138,0.403,0.156,0.0388,0.983,0.265,0.46391546938979045,0
139,0.44,0.0446,0.0533,0.992,0.203,0.44615717064035154,0
140,0.575,0.105,0.115,0.957,0.274,0.5660104499692485,0
141,0.584,0.0448,0.0407,0.995,0.298,0.4074435252854903,0
142,0.464,0.0266,0.0532,0.987,0.0659,0.5507233528554569,0
143,0.618,0.938,0.0456,0.0179,0.875,0.320679968306562,0
145,0.595,0.717,0.0295,0.0779,0.547,0.3069055125527069,0
146,0.451,0.97,0.107,0.0264,0.198,0.4923841554973155,0
147,0.458,0.795,0.0574,0.00316,0.513,0.4967336920084885,0
148,0.7,0.742,0.0716,0.0722,0.197,0.3234725369710604,0
149,0.592,0.767,0.027,0.0021,0.328,0.3485391652214386,0
150,0.559,0.345,0.0459,0.0576,0.458,0.282592434576876,0
151,0.553,0.865,0.0409,0.017,0.735,0.3467550241302312,0
152,0.725,0.803,0.0337,0.013,0.403,0.4643864383113825,0
153,0.683,0.734,0.029,0.00112,0.576,0.40267842796114783,0
154,0.666,0.936,0.0476,0.00244,0.776,0.3213559472293175,0
155,0.695,0.993,0.0614,0.00194,0.28,0.4119814493653001,0
156,0.504,0.96,0.183,0.00417,0.774,0.349641786579048,0
157,0.663,0.546,0.0269,0.0322,0.656,0.3024839455005846,0
158,0.343,0.983,0.212,0.00107,0.186,0.5039755317793206,0
160,0.378,0.474,0.0271,0.28,0.38,0.38120778594739557,0
161,0.852,0.651,0.0411,0.0432,0.96,0.5398467411721031,0
162,0.499,0.705,0.0669,0.00399,0.36,0.5005014433812245,0
163,0.591,0.794,0.069,0.183,0.875,0.633841056300179,0
166,0.313,0.753,0.0285,0.0313,0.514,0.7932723474753295,0
167,0.56,0.953,0.0851,0.005,0.519,0.4340227948958051,0
170,0.558,0.924,0.0367,0.0887,0.344,0.46283501127555005,0
172,0.476,0.511,0.0324,0.319,0.339,0.6348605654951545,0
173,0.439,0.709,0.026,0.00565,0.319,0.2645847993395354,0
174,0.574,0.799,0.0231,0.144,0.446,0.321793671285856,0
175,0.524,0.946,0.0395,0.00163,0.613,0.47416596944796907,0
176,0.476,0.979,0.132,0.0014,0.416,0.5918971182242809,0
179,0.54,0.884,0.256,0.00119,0.338,0.4812748297585868,0
180,0.468,0.826,0.0295,0.000858,0.359,0.38363466109630484,0
181,0.348,0.686,0.0319,0.0233,0.635,0.80279146050233,0
182,0.499,0.816,0.0358,0.232,0.275,0.2683857955773248,0
185,0.355,0.87,0.125,0.00998,0.184,0.4482793011929366,0
186,0.573,0.994,0.342,0.0281,0.416,0.448717025249475,0
187,0.709,0.738,0.048,0.00236,0.671,0.3471927481867696,0
188,0.396,0.657,0.0311,0.026,0.245,0.369006920472742,0
191,0.583,0.996,0.143,0.0181,0.174,0.37084092886152953,0
192,0.772,0.888,0.118,0.0123,0.706,0.504585020971969,0
194,0.412,0.48,0.0298,0.056,0.136,0.231223577258296,0
195,0.794,0.324,0.0705,0.395,0.441,0.4751023664803108,0
196,0.318,0.497,0.0533,0.637,0.244,0.46826500590096354,0
198,0.382,0.283,0.0292,0.786,0.0441,0.34198438599504655,0
200,0.847,0.37,0.0361,0.605,0.233,0.4565683542129555,0
201,0.591,0.534,0.0424,0.0207,0.51,0.3954144249469467,0
202,0.698,0.303,0.0316,0.124,0.31,0.4237833764593111,0
203,0.208,0.212,0.038,0.937,0.192,0.22085672017242997,0
204,0.282,0.132,0.0375,0.938,0.0379,0.568525978091634,0
205,0.546,0.299,0.0386,0.668,0.789,0.45370929581835007,0
206,0.679,0.138,0.183,0.848,0.374,0.3038580665894647,0
207,0.55,0.596,0.0335,0.843,0.207,0.6072894907440755,0
211,0.533,0.73,0.0286,0.0334,0.522,0.5997207431335502,0
212,0.568,0.067,0.0491,0.935,0.4,0.5128740739919879,0
213,0.648,0.177,0.0311,0.985,0.236,0.36304500800647166,0
214,0.52,0.389,0.0403,0.83,0.326,0.5514990663733731,0
215,0.273,0.396,0.037,0.744,0.152,0.2239761966766216,0
216,0.378,0.614,0.0387,0.706,0.481,0.7887178009629928,0
217,0.291,0.705,0.0296,0.00606,0.32,0.3221649056122873,0
218,0.592,0.709,0.0459,0.079,0.466,0.5062749682788579,0
219,0.54,0.674,0.0296,0.0978,0.165,0.34052161193269026,0
220,0.381,0.832,0.0492,0.0189,0.166,0.4802553205636112,0
222,0.642,0.475,0.0294,0.726,0.453,0.38994010383479516,0
223,0.366,0.323,0.026,0.877,0.266,0.35531003607067857,0
224,0.365,0.273,0.038,0.94,0.238,0.5469112749959829,0
225,0.486,0.236,0.0278,0.731,0.194,0.3572881055413649,0
226,0.516,0.88,0.0473,0.00406,0.508,0.412385928556785,0
227,0.697,0.241,0.035,0.938,0.586,0.5342449814105796,0
230,0.332,0.255,0.0309,0.954,0.134,0.8544318175521806,0
231,0.345,0.232,0.0319,0.947,0.0343,0.5363006222330576,0
232,0.674,0.591,0.0758,0.432,0.732,0.35946010339153023,0
233,0.459,0.718,0.0359,0.122,0.193,0.35704985067514783,0
234,0.358,0.634,0.0438,0.023,0.152,0.41265742828805574,0
236,0.57,0.845,0.0331,0.0156,0.717,0.4787371383928324,0
237,0.524,0.322,0.0275,0.123,0.167,0.4245147634904891,0
239,0.657,0.589,0.0381,0.656,0.589,0.5342172773563684,0
240,0.567,0.639,0.0427,0.112,0.716,0.8325179106710476,0
241,0.327,0.429,0.0275,0.476,0.187,0.3298832551155536,0
242,0.547,0.572,0.0264,0.00717,0.409,0.36803727857534674,0
243,0.588,0.352,0.0403,0.812,0.655,0.626881797882302,0
244,0.445,0.469,0.0291,0.173,0.535,0.8004975648136348,0
245,0.44,0.518,0.0345,0.0945,0.537,0.3844380786684324,0
246,0.53,0.361,0.0328,0.619,0.463,0.34164085572282643,0
247,0.534,0.488,0.0251,0.345,0.176,0.36234686584034703,0
249,0.511,0.622,0.0242,0.0108,0.425,0.3676605034380731,0
250,0.132,0.791,0.0322,0.00412,0.486,0.2793399786124701,0
251,0.372,0.15,0.0294,0.963,0.0784,0.1950199192149779,0
252,0.517,0.449,0.0272,0.655,0.323,0.2642080242022618,0
253,0.443,0.706,0.0302,0.0804,0.252,0.5250029089256921,0
254,0.376,0.277,0.0357,0.133,0.309,0.8047196626754359,0
255,0.431,0.834,0.0654,0.0158,0.11,0.9000049867297579,0
256,0.434,0.388,0.0342,0.00817,0.185,0.1634871647116839,0
257,0.189,0.793,0.0512,0.255,0.266,0.775203763318724,0
259,0.672,0.389,0.045,0.721,0.235,0.5897251203741155,0
261,0.756,0.549,0.0475,0.705,0.513,0.4067564647410502,0
262,0.559,0.871,0.0392,7.53e-06,0.573,0.39559727170474124,0
263,0.514,0.548,0.0271,0.546,0.228,0.3683475639825132,0
264,0.399,0.443,0.0272,0.848,0.265,0.5876805611733221,0
265,0.293,0.585,0.0333,0.00994,0.0659,0.5396084863058861,0
266,0.669,0.393,0.0242,0.486,0.702,0.39612918954559806,0
267,0.683,0.813,0.0293,0.282,0.957,0.43469323300771834,0
268,0.513,0.708,0.0373,0.0326,0.579,0.42822710675480247,0
269,0.346,0.201,0.0344,0.889,0.149,0.485474764377019,0
270,0.68,0.421,0.0271,0.621,0.337,0.3901395730251165,0
271,0.399,0.547,0.0429,0.321,0.439,0.8446135007396982,0
272,0.374,0.426,0.0315,0.663,0.0902,0.38007191972473253,0
273,0.422,0.635,0.0623,0.019,0.464,0.678976501421218,0
275,0.694,0.453,0.0289,0.17,0.394,0.4511051147224885,0
276,0.639,0.827,0.0962,0.691,0.538,0.484532826533835,0
278,0.685,0.753,0.0441,0.00321,0.626,0.34413422060184284,0
279,0.634,0.668,0.0341,0.79,0.843,0.3571717485136775,0
280,0.331,0.792,0.0309,0.0138,0.657,0.6191745300007203,0
282,0.549,0.842,0.03,0.043,0.672,0.8441314501964217,0
284,0.483,0.75,0.0294,0.0859,0.468,0.5898747222668564,0
285,0.626,0.0654,0.0405,0.994,0.724,0.3420010084275733,0
286,0.305,0.176,0.0372,0.873,0.109,0.27920145834141363,0
287,0.512,0.848,0.0623,0.0389,0.586,0.7450451299043103,0
289,0.284,0.366,0.0313,0.214,0.107,0.5426005241607057,0
291,0.206,0.326,0.0423,0.659,0.0633,0.5064799782800214,0
294,0.415,0.646,0.0699,4.22e-05,0.409,0.7173521573147014,0
295,0.598,0.676,0.0279,0.13,0.805,0.44653394577762506,0
296,0.507,0.843,0.0379,0.0191,0.704,0.584871370076297,0
297,0.443,0.96,0.0757,0.0231,0.243,0.49755927282398504,0
299,0.6,0.931,0.0734,0.0296,0.542,0.5903401503776062,0
300,0.279,0.852,0.0511,0.0119,0.438,0.46453604020412353,0
301,0.386,0.881,0.0922,0.0327,0.267,0.26495049285512445,0
302,0.415,0.905,0.128,0.0139,0.486,0.619573468381363,0
303,0.83,0.513,0.0343,0.226,0.586,0.4177438926412491,0
304,0.577,0.808,0.039,0.0338,0.869,0.6506518763955917,0
305,0.482,0.8,0.0916,0.0569,0.569,0.6938812825868937,0
306,0.536,0.844,0.058,0.0628,0.185,0.465832589941212,0
307,0.454,0.946,0.13,0.0223,0.647,0.5795743549110978,0
308,0.608,0.931,0.073,0.453,0.883,0.5951052477019487,0
309,0.336,0.795,0.0897,0.00361,0.417,0.6742723530161403,0
310,0.298,0.767,0.0438,0.204,0.6,0.5697449564769309,0
311,0.377,0.682,0.0299,0.000894,0.288,0.4164307204716339,0
312,0.58,0.814,0.0363,0.173,0.722,0.5985571728566759,0
313,0.597,0.605,0.0255,0.181,0.886,0.3557366785055325,0
314,0.449,0.642,0.0487,0.00608,0.586,0.44359177522038573,0
315,0.741,0.697,0.0277,0.0664,0.774,0.4572831188116069,0
316,0.581,0.831,0.107,0.0458,0.885,0.615611788629148,0
317,0.58,0.596,0.0751,0.125,0.715,0.591171272003945,0
318,0.303,0.961,0.243,0.00253,0.305,0.6261781149053353,0
319,0.576,0.974,0.0828,0.0202,0.531,0.5291973027332819,0
320,0.592,0.909,0.055,0.000726,0.517,0.49594135605804557,0
321,0.466,0.648,0.028,0.0023,0.305,0.31502834124745815,0
323,0.523,0.917,0.0666,0.00293,0.354,0.5952770128380588,0
324,0.507,0.804,0.044,0.0211,0.708,0.6893710625612953,0
325,0.519,0.833,0.0496,0.00572,0.532,0.5798236913989993,0
327,0.331,0.55,0.0272,0.605,0.429,0.7987355869657966,0
331,0.666,0.667,0.0371,0.043,0.679,0.5576272031649111,0
332,0.706,0.497,0.0273,0.06,0.743,0.3972983006333147,0
333,0.291,0.79,0.0363,0.00133,0.513,0.6764665141096748,0
334,0.451,0.911,0.0466,0.0801,0.63,0.5072224469328842,0
335,0.768,0.829,0.0313,0.0964,0.962,0.4720438388953839,0
336,0.566,0.57,0.0285,0.156,0.491,0.5593891810127495,0
337,0.414,0.851,0.0413,0.0675,0.567,0.6944187412385929,0
338,0.459,0.953,0.066,0.000275,0.517,0.3407321627446961,0
339,0.29,0.623,0.038,0.108,0.422,0.3631835282775282,0
340,0.282,0.656,0.0302,0.0105,0.242,0.5860681852182249,0
341,0.285,0.846,0.0438,0.0404,0.287,0.4168296588522765,0
343,0.491,0.714,0.0399,0.0493,0.646,0.6141933410535297,0
344,0.471,0.857,0.156,0.0524,0.847,0.6907895101369135,0
345,0.394,0.944,0.0761,0.00178,0.265,0.39760304522963885,0
346,0.475,0.322,0.0283,0.367,0.387,0.33202754891150765,0
348,0.717,0.588,0.0535,0.331,0.852,0.5427667484859735,0
349,0.351,0.822,0.0408,0.000185,0.158,0.39851727901861156,0
350,0.438,0.428,0.0263,0.0841,0.209,0.3395685924678218,0
351,0.622,0.531,0.0406,0.0405,0.737,0.5236343286476544,0
352,0.82,0.452,0.0348,0.543,0.74,0.464441846419805,0
353,0.541,0.437,0.0288,0.000196,0.127,0.42433191673269466,0
354,0.461,0.918,0.0959,0.405,0.802,0.769374830312668,0
356,0.42,0.93,0.0638,0.0189,0.344,0.3660370458612914,0
357,0.334,0.901,0.0899,0.00227,0.694,0.6384233068667268,0
358,0.768,0.852,0.038,0.213,0.867,0.5252411637919093,0
359,0.579,0.654,0.0553,0.121,0.616,0.5316851268014562,0
360,0.61,0.891,0.0587,0.000805,0.51,0.5891211719923093,0
362,0.512,0.905,0.0573,3.21e-05,0.692,0.4608126153181257,0
363,0.522,0.707,0.0354,0.24,0.572,0.23532377728156734,0
364,0.268,0.459,0.0346,0.378,0.175,0.16953773015143037,0
365,0.294,0.745,0.0461,0.05,0.347,0.5584306207370386,0
366,0.664,0.852,0.029,0.174,0.807,0.5100482604624361,0
368,0.559,0.345,0.0459,0.0576,0.458,0.282592434576876,0
369,0.397,0.969,0.0463,1.52e-06,0.702,0.5580095191130271,0
370,0.309,0.649,0.035,0.0158,0.313,0.7387895544634001,0
371,0.399,0.523,0.0361,0.143,0.436,0.22859723291906536,0
372,0.572,0.835,0.0317,0.171,0.796,0.5342172773563684,0
373,0.373,0.869,0.0554,0.164,0.696,0.8335872871636036,0
375,0.695,0.402,0.0691,0.0368,0.379,0.5333196659999224,0
376,0.531,0.79,0.0243,0.114,0.415,0.3245973215720389,0
378,0.725,0.853,0.0353,0.0348,0.904,0.5690578959324908,0
380,0.145,0.961,0.207,0.00454,0.141,0.3397569800364585,0
382,0.676,0.671,0.0386,0.00182,0.417,0.496700447143435,0
383,0.661,0.908,0.039,0.052,0.656,0.6123260877996887,0
386,0.389,0.476,0.0316,0.619,0.566,0.6346333922506219,0
387,0.464,0.462,0.0406,0.657,0.557,0.5011885039256645,0
388,0.623,0.127,0.0306,0.452,0.237,0.32162190614974595,0
389,0.286,0.856,0.0585,0.0238,0.696,0.71222136647477,0
390,0.383,0.858,0.0594,0.0918,0.736,0.3611999179959995,0
392,0.692,0.497,0.119,0.676,0.475,0.26445736069016346,0
394,0.717,0.752,0.0413,0.0041,0.826,0.5121149829065985,0
395,0.751,0.92,0.0826,0.0498,0.668,0.5175726815862233,0
398,0.61,0.835,0.0748,0.0416,0.395,0.5226369826960477,0
399,0.598,0.875,0.036,0.0907,0.82,0.5231689005369046,0
400,0.597,0.837,0.375,0.00427,0.447,0.5139822361604397,0
402,0.546,0.899,0.233,0.00158,0.47,0.5342671446539485,0
403,0.72,0.925,0.0511,0.0276,0.781,0.5176502529380149,0
404,0.825,0.897,0.312,0.0982,0.546,0.5232076862128004,0
405,0.498,0.862,0.0589,0.000313,0.47,0.5233572881055413,0
406,0.741,0.838,0.0405,0.0229,0.234,0.5230580843200594,0
407,0.79,0.59,0.0793,0.0994,0.714,0.4785709140675646,0
408,0.813,0.627,0.0486,0.076,0.801,0.5343114711406867,0
409,0.507,0.665,0.0474,0.0144,0.4,0.5169576515827327,0
410,0.745,0.714,0.0751,0.0141,0.365,0.3902060627552236,0
411,0.545,0.953,0.0441,0.000941,0.558,0.589669712265693,0
413,0.369,0.785,0.2,0.00299,0.443,0.3903722870804913,0
414,0.768,0.481,0.085,0.00933,0.371,0.5222214218828783,0
415,0.674,0.862,0.0253,0.0157,0.5,0.5340565938419428,0
416,0.604,0.874,0.0295,0.000563,0.835,0.5120318707439646,0
417,0.694,0.823,0.048,0.000573,0.501,0.5471993971597803,0
418,0.716,0.834,0.0281,0.00855,0.275,0.5182542013198211,0
420,0.789,0.467,0.0695,0.0598,0.372,0.5343114711406867,0
421,0.637,0.878,0.0302,0.0775,0.742,0.5844114827763894,0
422,0.627,0.954,0.0425,0.0015,0.312,0.5232575535103806,0
423,0.819,0.759,0.147,0.0196,0.88,0.4124967447736302,0
425,0.649,0.647,0.0452,0.0039,0.405,0.5066572842269738,0
426,0.663,0.909,0.0783,0.0156,0.465,0.5287374154333745,0
427,0.726,0.731,0.0335,0.00056,0.577,0.5341895733021571,0
428,0.667,0.818,0.0594,0.00437,0.761,0.5727979432510153,0
430,0.719,0.697,0.0439,0.0611,0.338,0.5227755029671042,0
433,0.762,0.902,0.102,0.000728,0.521,0.522919564049003,0
434,0.683,0.772,0.0311,0.0222,0.737,0.5002908925692185,0
435,0.555,0.909,0.0773,0.00241,0.653,0.5285434870538954,0
436,0.69,0.805,0.0336,0.000232,0.799,0.5221050648551909,0
437,0.686,0.832,0.0725,0.000321,0.884,0.5177555283440178,0
438,0.635,0.882,0.0605,0.484,0.549,0.5339790224901512,0
439,0.667,0.876,0.216,0.00229,0.69,0.5344776954659545,0
443,0.747,0.904,0.0803,0.046,0.846,0.47262008322297877,0
444,0.69,0.827,0.05,0.00293,0.73,0.5231411964826933,0
446,0.663,0.925,0.0449,0.00683,0.843,0.549138680954571,0
447,0.654,0.814,0.0326,0.00639,0.842,0.4720438388953839,0
448,0.641,0.945,0.0762,2.59e-05,0.229,0.5124806764221876,0
449,0.652,0.894,0.0315,0.0384,0.584,0.4788756586638889,0
450,0.58,0.89,0.036,6.54e-05,0.909,0.5063857844957032,0
453,0.844,0.721,0.0638,0.0259,0.903,0.5543193390920829,0
454,0.432,0.832,0.0398,0.116,0.319,0.5769092248959713,0
455,0.49,0.915,0.0459,0.0198,0.38,0.5895201103729519,0
456,0.62,0.99,0.0442,0.0546,0.654,0.6054776455986568,0
457,0.593,0.994,0.0622,0.0679,0.348,0.5785991722028602,0
458,0.744,0.868,0.0367,0.0242,0.851,0.5175726815862233,0
460,0.513,0.949,0.0454,5.38e-05,0.0441,0.5618548418375545,0
461,0.632,0.912,0.0365,0.0269,0.323,0.5787709373389701,0
