,danceability,energy,speechiness,acousticness,valence,tempo,tempo_scale,reggaeton
71,0.639,0.0291,0.0646,0.996,0.43,74.673,0.22769408075177722,0
72,0.294,0.223,0.0322,0.989,0.144,84.044,0.27961701915458304,0
74,0.639,0.0169,0.056,0.995,0.732,98.219,0.3581580128435995,0
75,0.601,0.0235,0.0525,0.991,0.346,79.929,0.2568165825386887,0
76,0.575,0.00989,0.0523,0.996,0.605,65.941,0.17931172047717464,0
77,0.522,0.0153,0.0511,0.995,0.349,125.093,0.5070617634184587,0
78,0.536,0.0593,0.0448,0.993,0.247,72.28,0.21443492040625223,0
79,0.542,0.022,0.0426,0.994,0.168,110.989,0.4289141672992426,0
80,0.428,0.0648,0.05,0.995,0.28,110.059,0.42376121321594196,0
81,0.24,0.0571,0.059,0.987,0.229,67.396,0.18737360025266098,0
82,0.715,0.0411,0.0461,0.985,0.697,91.204,0.319289224785155,0
83,0.35,0.0256,0.0334,0.957,0.071,77.664,0.24426664598097286,0
84,0.508,0.113,0.0727,0.994,0.248,128.048,0.523434859457333,0
86,0.565,0.0843,0.0448,0.994,0.44,86.022,0.29057674300057074,0
87,0.588,0.026,0.0506,0.993,0.202,77.728,0.24462125787487737,0
88,0.514,0.0282,0.0693,0.995,0.244,96.015,0.3459460657472615,0
89,0.555,0.0306,0.0545,0.995,0.474,114.703,0.44949273876739126,0
90,0.461,0.028,0.0619,0.994,0.406,73.651,0.22203137207098883,0
92,0.54,0.0371,0.049,0.995,0.519,79.332,0.25350871846586026,0
93,0.475,0.0516,0.123,0.989,0.259,73.922,0.22353293180924094,0
95,0.448,0.0197,0.0442,0.995,0.148,131.893,0.5447392771458175,0
96,0.298,0.0037,0.0386,0.994,0.134,70.806,0.20626776522476298,0
97,0.57,0.0743,0.0539,0.988,0.231,83.01,0.27388782074368767,0
98,0.505,0.029,0.041,0.989,0.114,66.014,0.17971619966865948,0
99,0.394,0.0281,0.0666,0.995,0.301,200.615,0.925514879847517,0
101,0.419,0.00181,0.0408,0.993,0.146,69.862,0.2010372397896708,0
102,0.6,0.0185,0.0599,0.994,0.214,79.993,0.25717119443259323,0
103,0.392,0.0664,0.0462,0.995,0.152,74.751,0.22812626399747343,0
104,0.401,0.00641,0.0459,0.987,0.303,69.241,0.19759639625662817,0
105,0.652,0.0796,0.118,0.992,0.25,63.465,0.16559267283174223,0
107,0.729,0.0425,0.068,0.995,0.475,100.074,0.36843621695598927,0
108,0.512,0.113,0.055,0.98,0.0569,107.417,0.4091223909706947,0
109,0.603,0.0945,0.0366,0.968,0.0727,71.972,0.21272835066683654,0
111,0.442,0.0293,0.0495,0.996,0.25,67.256,0.18659788673474476,0
112,0.517,0.014,0.084,0.996,0.0462,66.185,0.18066367832268576,0
113,0.408,0.0126,0.0517,0.996,0.132,80.969,0.26257902581463766,0
115,0.562,0.0206,0.0426,0.995,0.207,72.953,0.21816388610309234,0
116,0.283,0.0425,0.0497,0.994,0.285,197.891,0.9104217111132042,0
118,0.298,0.0366,0.0465,0.994,0.282,72.209,0.2140415228364519,0
119,0.634,0.0333,0.0427,0.992,0.144,118.197,0.468852331850243,0
120,0.467,0.0272,0.0399,0.995,0.524,87.116,0.29663839006200166,0
121,0.555,0.0404,0.0594,0.993,0.456,118.647,0.4713456967292594,0
122,0.344,0.0683,0.0418,0.991,0.252,72.012,0.21294998310052693,0
123,0.397,0.0315,0.0392,0.991,0.18,72.833,0.2174989888020213,0
124,0.541,0.0132,0.0429,0.996,0.154,75.065,0.22986607860194258,0
125,0.679,0.0159,0.0382,0.995,0.0947,103.995,0.3901617362684856,0
126,0.33,0.005,0.0499,0.994,0.0749,85.067,0.2852852686462136,0
128,0.349,0.0205,0.0425,0.995,0.0396,68.983,0.19616686705932546,0
130,0.298,0.0873,0.0598,0.994,0.407,211.823,0.9876162877675521,0
131,0.35,0.0262,0.0398,0.994,0.0556,100.076,0.3684472985776738,0
132,0.433,0.187,0.0343,0.958,0.35,138.509,0.5813972816782007,0
134,0.466,0.00472,0.0531,0.992,0.233,81.181,0.2637536777131965,0
135,0.688,0.0195,0.0567,0.996,0.293,132.225,0.5465788263454474,0
136,0.514,0.132,0.0604,0.994,0.12,132.052,0.5456202660697366,0
137,0.573,0.0198,0.0449,0.993,0.284,61.978,0.15735348710930358,0
138,0.403,0.156,0.0388,0.983,0.265,117.306,0.46391546938979045,0
139,0.44,0.0446,0.0533,0.992,0.203,114.101,0.44615717064035154,0
140,0.575,0.105,0.115,0.957,0.274,135.732,0.5660104499692485,0
141,0.584,0.0448,0.0407,0.995,0.298,107.114,0.4074435252854903,0
143,0.618,0.938,0.0456,0.0179,0.875,91.455,0.320679968306562,0
146,0.451,0.97,0.107,0.0264,0.198,122.444,0.4923841554973155,0
147,0.458,0.795,0.0574,0.00316,0.513,123.229,0.4967336920084885,0
148,0.7,0.742,0.0716,0.0722,0.197,91.959,0.3234725369710604,0
149,0.592,0.767,0.027,0.0021,0.328,96.483,0.3485391652214386,0
150,0.559,0.345,0.0459,0.0576,0.458,84.581,0.282592434576876,0
151,0.553,0.865,0.0409,0.017,0.735,96.161,0.3467550241302312,0
152,0.725,0.803,0.0337,0.013,0.403,117.391,0.4643864383113825,0
153,0.683,0.734,0.029,0.00112,0.576,106.254,0.40267842796114783,0
154,0.666,0.936,0.0476,0.00244,0.776,91.577,0.3213559472293175,0
155,0.695,0.993,0.0614,0.00194,0.28,107.933,0.4119814493653001,0
156,0.504,0.96,0.183,0.00417,0.774,96.682,0.349641786579048,0
157,0.663,0.546,0.0269,0.0322,0.656,88.171,0.3024839455005846,0
158,0.343,0.983,0.212,0.00107,0.186,124.536,0.5039755317793206,0
159,0.365,0.804,0.105,0.104,0.577,171.597,0.7647316308268552,0
160,0.378,0.474,0.0271,0.28,0.38,102.379,0.38120778594739557,0
161,0.852,0.651,0.0411,0.0432,0.96,131.01,0.5398467411721031,0
162,0.499,0.705,0.0669,0.00399,0.36,123.909,0.5005014433812245,0
163,0.591,0.794,0.069,0.183,0.875,147.974,0.633841056300179,0
164,0.607,0.953,0.0471,0.0706,0.315,118.885,0.4726644097097169,0
166,0.313,0.753,0.0285,0.0313,0.514,176.748,0.7932723474753295,0
167,0.56,0.953,0.0851,0.005,0.519,111.911,0.4340227948958051,0
168,0.623,0.936,0.0528,0.000617,0.705,101.514,0.3764149845688418,0
169,0.639,0.839,0.0634,0.0446,0.603,101.447,0.37604375024241044,0
170,0.558,0.924,0.0367,0.0887,0.344,117.111,0.46283501127555005,0
171,0.283,0.982,0.0703,0.000204,0.438,124.149,0.5018312379833665,0
172,0.476,0.511,0.0324,0.319,0.339,148.158,0.6348605654951545,0
173,0.439,0.709,0.026,0.00565,0.319,81.331,0.2645847993395354,0
174,0.574,0.799,0.0231,0.144,0.446,91.656,0.321793671285856,0
175,0.524,0.946,0.0395,0.00163,0.613,119.156,0.47416596944796907,0
176,0.476,0.979,0.132,0.0014,0.416,140.404,0.5918971182242809,0
177,0.56,0.209,0.039,0.0132,0.407,140.744,0.5937809939106489,0
178,0.471,0.721,0.0277,0.0579,0.3,92.882,0.3285867053784651,0
179,0.54,0.884,0.256,0.00119,0.338,120.439,0.4812748297585868,0
180,0.468,0.826,0.0295,0.000858,0.359,102.817,0.38363466109630484,0
181,0.348,0.686,0.0319,0.0233,0.635,178.466,0.80279146050233,0
182,0.499,0.816,0.0358,0.232,0.275,82.017,0.2683857955773248,0
184,0.439,0.885,0.0625,0.000277,0.495,92.738,0.32778882861717984,0
185,0.355,0.87,0.125,0.00998,0.184,114.484,0.4482793011929366,0
186,0.573,0.994,0.342,0.0281,0.416,114.563,0.448717025249475,0
187,0.709,0.738,0.048,0.00236,0.671,96.24,0.3471927481867696,0
188,0.396,0.657,0.0311,0.026,0.245,100.177,0.369006920472742,0
189,0.25,0.942,0.148,5.09e-05,0.244,128.195,0.524249358651145,0
190,0.167,0.975,0.216,0.000169,0.0918,199.06,0.9168989189878047,0
191,0.583,0.996,0.143,0.0181,0.174,100.508,0.37084092886152953,0
192,0.772,0.888,0.118,0.0123,0.706,124.646,0.504585020971969,0
193,0.577,0.582,0.0306,0.0192,0.24,119.908,0.4783326592013475,0
194,0.412,0.48,0.0298,0.056,0.136,75.31,0.231223577258296,0
195,0.794,0.324,0.0705,0.395,0.441,119.325,0.4751023664803108,0
196,0.318,0.497,0.0533,0.637,0.244,118.091,0.46826500590096354,0
197,0.391,0.152,0.0391,0.966,0.0974,143.508,0.6090957950786519,0
198,0.382,0.283,0.0292,0.786,0.0441,95.3,0.34198438599504655,0
200,0.847,0.37,0.0361,0.605,0.233,115.98,0.4565683542129555,0
201,0.591,0.534,0.0424,0.0207,0.51,104.943,0.3954144249469467,0
202,0.698,0.303,0.0316,0.124,0.31,110.063,0.4237833764593111,0
203,0.208,0.212,0.038,0.937,0.192,73.439,0.22085672017242997,0
204,0.282,0.132,0.0375,0.938,0.0379,136.186,0.568525978091634,0
205,0.546,0.299,0.0386,0.668,0.789,115.464,0.45370929581835007,0
206,0.679,0.138,0.183,0.848,0.374,88.419,0.3038580665894647,0
207,0.55,0.596,0.0335,0.843,0.207,143.182,0.6072894907440755,0
209,0.477,0.72,0.0395,0.54,0.498,171.781,0.7657511400218309,0
210,0.473,0.46,0.0263,0.224,0.428,141.011,0.5952603904055319,0
211,0.533,0.73,0.0286,0.0334,0.522,141.816,0.5997207431335502,0
212,0.568,0.067,0.0491,0.935,0.4,126.142,0.5128740739919879,0
213,0.648,0.177,0.0311,0.985,0.236,99.101,0.36304500800647166,0
214,0.52,0.389,0.0403,0.83,0.326,133.113,0.5514990663733731,0
216,0.378,0.614,0.0387,0.706,0.481,175.926,0.7887178009629928,0
217,0.291,0.705,0.0296,0.00606,0.32,91.723,0.3221649056122873,0
218,0.592,0.709,0.0459,0.079,0.466,124.951,0.5062749682788579,0
219,0.54,0.674,0.0296,0.0978,0.165,95.036,0.34052161193269026,0
220,0.381,0.832,0.0492,0.0189,0.166,120.255,0.4802553205636112,0
221,0.408,0.538,0.0331,0.00368,0.0391,139.999,0.5896530898331661,0
222,0.642,0.475,0.0294,0.726,0.453,103.955,0.38994010383479516,0
223,0.366,0.323,0.026,0.877,0.266,97.705,0.35531003607067857,0
225,0.486,0.236,0.0278,0.731,0.194,98.062,0.3572881055413649,0
226,0.516,0.88,0.0473,0.00406,0.508,108.006,0.412385928556785,0
227,0.697,0.241,0.035,0.938,0.586,129.999,0.5342449814105796,0
228,0.575,0.182,0.028,0.965,0.287,98.062,0.3572881055413649,0
229,0.584,0.58,0.0269,0.255,0.263,126.053,0.512380941827027,0
230,0.332,0.255,0.0309,0.954,0.134,187.786,0.8544318175521806,0
233,0.459,0.718,0.0359,0.122,0.193,98.019,0.35704985067514783,0
234,0.358,0.634,0.0438,0.023,0.152,108.055,0.41265742828805574,0
236,0.57,0.845,0.0331,0.0156,0.717,119.981,0.4787371383928324,0
238,0.464,0.347,0.048,0.241,0.556,150.028,0.6452218817701783,0
239,0.657,0.589,0.0381,0.656,0.589,129.994,0.5342172773563684,0
240,0.567,0.639,0.0427,0.112,0.716,183.831,0.8325179106710476,0
241,0.327,0.429,0.0275,0.476,0.187,93.116,0.3298832551155536,0
242,0.547,0.572,0.0264,0.00717,0.409,100.002,0.36803727857534674,0
243,0.588,0.352,0.0403,0.812,0.655,146.718,0.626881797882302,0
244,0.445,0.469,0.0291,0.173,0.535,178.052,0.8004975648136348,0
245,0.44,0.518,0.0345,0.0945,0.537,102.962,0.3844380786684324,0
246,0.53,0.361,0.0328,0.619,0.463,95.238,0.34164085572282643,0
248,0.334,0.397,0.0283,0.558,0.0351,92.291,0.3253120861706902,0
250,0.132,0.791,0.0322,0.00412,0.486,83.994,0.2793399786124701,0
251,0.372,0.15,0.0294,0.963,0.0784,68.776,0.1950199192149779,0
257,0.189,0.793,0.0512,0.255,0.266,173.487,0.775203763318724,0
258,0.228,0.381,0.0307,0.505,0.173,112.824,0.4390815551947872,0
259,0.672,0.389,0.045,0.721,0.235,140.012,0.5897251203741155,0
260,0.612,0.702,0.0263,0.0994,0.689,130.008,0.53429484870816,0
261,0.756,0.549,0.0475,0.705,0.513,106.99,0.4067564647410502,0
262,0.559,0.871,0.0392,7.53e-06,0.573,104.976,0.39559727170474124,0
263,0.514,0.548,0.0271,0.546,0.228,100.058,0.3683475639825132,0
264,0.399,0.443,0.0272,0.848,0.265,139.643,0.5876805611733221,0
265,0.293,0.585,0.0333,0.00994,0.0659,130.967,0.5396084863058861,0
266,0.669,0.393,0.0242,0.486,0.702,105.072,0.39612918954559806,0
267,0.683,0.813,0.0293,0.282,0.957,112.032,0.43469323300771834,0
272,0.374,0.426,0.0315,0.663,0.0902,102.174,0.38007191972473253,0
273,0.422,0.635,0.0623,0.019,0.464,156.12,0.678976501421218,0
275,0.694,0.453,0.0289,0.17,0.394,114.994,0.4511051147224885,0
276,0.639,0.827,0.0962,0.691,0.538,121.027,0.484532826533835,0
277,0.407,0.482,0.215,0.0378,0.154,159.524,0.6978374215282664,0
280,0.331,0.792,0.0309,0.0138,0.657,145.327,0.6191745300007203,0
282,0.549,0.842,0.03,0.043,0.672,185.927,0.8441314501964217,0
283,0.327,0.538,0.0504,0.174,0.192,142.718,0.6047185545132674,0
284,0.483,0.75,0.0294,0.0859,0.468,140.039,0.5898747222668564,0
285,0.626,0.0654,0.0405,0.994,0.724,95.303,0.3420010084275733,0
286,0.305,0.176,0.0372,0.873,0.109,83.969,0.27920145834141363,0
288,0.458,0.581,0.041,0.267,0.255,183.927,0.8330498285119043,0
289,0.284,0.366,0.0313,0.214,0.107,131.507,0.5426005241607057,0
290,0.577,0.421,0.0489,0.0162,0.737,168.009,0.7448512015248311,0
291,0.206,0.326,0.0423,0.659,0.0633,124.988,0.5064799782800214,0
292,0.378,0.4,0.0335,0.0726,0.0787,138.015,0.578660121122125,0
293,0.643,0.669,0.0398,0.208,0.609,132.709,0.5492605787931006,0
294,0.415,0.646,0.0699,4.22e-05,0.409,163.046,0.7173521573147014,0
296,0.507,0.843,0.0379,0.0191,0.704,139.136,0.584871370076297,0
297,0.443,0.96,0.0757,0.0231,0.243,123.378,0.49755927282398504,0
298,0.483,0.685,0.0343,0.00184,0.763,127.206,0.5187694967281512,0
299,0.6,0.931,0.0734,0.0296,0.542,140.123,0.5903401503776062,0
300,0.279,0.852,0.0511,0.0119,0.438,117.418,0.46453604020412353,0
301,0.386,0.881,0.0922,0.0327,0.267,81.397,0.26495049285512445,0
302,0.415,0.905,0.128,0.0139,0.486,145.399,0.619573468381363,0
303,0.83,0.513,0.0343,0.226,0.586,108.973,0.4177438926412491,0
304,0.577,0.808,0.039,0.0338,0.869,151.008,0.6506518763955917,0
307,0.454,0.946,0.13,0.0223,0.647,138.18,0.5795743549110978,0
308,0.608,0.931,0.073,0.453,0.883,140.983,0.5951052477019487,0
309,0.336,0.795,0.0897,0.00361,0.417,155.271,0.6742723530161403,0
310,0.298,0.767,0.0438,0.204,0.6,136.406,0.5697449564769309,0
311,0.377,0.682,0.0299,0.000894,0.288,108.736,0.4164307204716339,0
312,0.58,0.814,0.0363,0.173,0.722,141.606,0.5985571728566759,0
313,0.597,0.605,0.0255,0.181,0.886,97.782,0.3557366785055325,0
314,0.449,0.642,0.0487,0.00608,0.586,113.638,0.44359177522038573,0
315,0.741,0.697,0.0277,0.0664,0.774,116.109,0.4572831188116069,0
316,0.581,0.831,0.107,0.0458,0.885,144.684,0.615611788629148,0
318,0.303,0.961,0.243,0.00253,0.305,146.591,0.6261781149053353,0
319,0.576,0.974,0.0828,0.0202,0.531,129.088,0.5291973027332819,0
320,0.592,0.909,0.055,0.000726,0.517,123.086,0.49594135605804557,0
321,0.466,0.648,0.028,0.0023,0.305,90.435,0.31502834124745815,0
322,0.398,0.859,0.0499,0.00264,0.72,92.132,0.3244310972467711,0
323,0.523,0.917,0.0666,0.00293,0.354,141.014,0.5952770128380588,0
324,0.507,0.804,0.044,0.0211,0.708,157.996,0.6893710625612953,0
325,0.519,0.833,0.0496,0.00572,0.532,138.225,0.5798236913989993,0
326,0.472,0.946,0.145,0.0372,0.486,177.489,0.7973780883094432,0
327,0.331,0.55,0.0272,0.605,0.429,177.734,0.7987355869657966,0
328,0.674,0.789,0.0676,0.00178,0.918,129.804,0.5331645232963392,0
329,0.559,0.687,0.0311,0.0591,0.854,122.666,0.49361421550429685,0
330,0.598,0.797,0.0332,0.0424,0.622,123.566,0.4986009452623297,0
331,0.666,0.667,0.0371,0.043,0.679,134.219,0.5576272031649111,0
332,0.706,0.497,0.0273,0.06,0.743,105.283,0.3972983006333147,0
333,0.291,0.79,0.0363,0.00133,0.513,155.667,0.6764665141096748,0
334,0.451,0.911,0.0466,0.0801,0.63,125.122,0.5072224469328842,0
335,0.768,0.829,0.0313,0.0964,0.962,118.773,0.4720438388953839,0
336,0.566,0.57,0.0285,0.156,0.491,134.537,0.5593891810127495,0
337,0.414,0.851,0.0413,0.0675,0.567,158.907,0.6944187412385929,0
338,0.459,0.953,0.066,0.000275,0.517,95.074,0.3407321627446961,0
339,0.29,0.623,0.038,0.108,0.422,99.126,0.3631835282775282,0
340,0.282,0.656,0.0302,0.0105,0.242,139.352,0.5860681852182249,0
342,0.619,0.603,0.0342,0.715,0.958,127.432,0.5200217199785017,0
344,0.471,0.857,0.156,0.0524,0.847,158.252,0.6907895101369135,0
345,0.394,0.944,0.0761,0.00178,0.265,105.338,0.39760304522963885,0
346,0.475,0.322,0.0283,0.367,0.387,93.503,0.33202754891150765,0
347,0.414,0.404,0.0499,0.271,0.224,71.105,0.20792446766659833,0
348,0.717,0.588,0.0535,0.331,0.852,131.537,0.5427667484859735,0
349,0.351,0.822,0.0408,0.000185,0.158,105.503,0.39851727901861156,0
350,0.438,0.428,0.0263,0.0841,0.209,94.864,0.3395685924678218,0
351,0.622,0.531,0.0406,0.0405,0.737,128.084,0.5236343286476544,0
353,0.541,0.437,0.0288,0.000196,0.127,110.162,0.42433191673269466,0
354,0.461,0.918,0.0959,0.405,0.802,172.435,0.769374830312668,0
355,0.27,0.953,0.0797,0.0175,0.426,100.459,0.3705694291302589,0
356,0.42,0.93,0.0638,0.0189,0.344,99.641,0.3660370458612914,0
357,0.334,0.901,0.0899,0.00227,0.694,148.801,0.6384233068667268,0
358,0.768,0.852,0.038,0.213,0.867,128.374,0.5252411637919093,0
359,0.579,0.654,0.0553,0.121,0.616,129.537,0.5316851268014562,0
360,0.61,0.891,0.0587,0.000805,0.51,139.903,0.5891211719923093,0
361,0.535,0.967,0.068,0.000886,0.347,110.97,0.4288088918932397,0
362,0.512,0.905,0.0573,3.21e-05,0.692,116.746,0.4608126153181257,0
363,0.522,0.707,0.0354,0.24,0.572,76.05,0.23532377728156734,0
364,0.268,0.459,0.0346,0.378,0.175,64.177,0.16953773015143037,0
365,0.294,0.745,0.0461,0.05,0.347,134.364,0.5584306207370386,0
368,0.559,0.345,0.0459,0.0576,0.458,84.581,0.282592434576876,0
369,0.397,0.969,0.0463,1.52e-06,0.702,134.288,0.5580095191130271,0
370,0.309,0.649,0.035,0.0158,0.313,166.915,0.7387895544634001,0
372,0.572,0.835,0.0317,0.171,0.796,129.994,0.5342172773563684,0
373,0.373,0.869,0.0554,0.164,0.696,184.024,0.8335872871636036,0
374,0.588,0.656,0.0297,0.195,0.866,148.691,0.6378138176740784,0
375,0.695,0.402,0.0691,0.0368,0.379,129.832,0.5333196659999224,0
376,0.531,0.79,0.0243,0.114,0.415,92.162,0.3245973215720389,0
377,0.671,0.712,0.0476,0.429,0.462,113.805,0.44451709063104294,0
378,0.725,0.853,0.0353,0.0348,0.904,136.282,0.5690578959324908,0
379,0.444,0.947,0.0805,0.0098,0.331,111.326,0.43078142055308366,0
380,0.145,0.961,0.207,0.00454,0.141,94.898,0.3397569800364585,0
382,0.676,0.671,0.0386,0.00182,0.417,123.223,0.496700447143435,0
383,0.661,0.908,0.039,0.052,0.656,144.091,0.6123260877996887,0
384,0.423,0.954,0.047,0.0021,0.5,144.553,0.6148859424088121,0
386,0.389,0.476,0.0316,0.619,0.566,148.117,0.6346333922506219,0
387,0.464,0.462,0.0406,0.657,0.557,124.033,0.5011885039256645,0
388,0.623,0.127,0.0306,0.452,0.237,91.625,0.32162190614974595,0
389,0.286,0.856,0.0585,0.0238,0.696,162.12,0.71222136647477,0
390,0.383,0.858,0.0594,0.0918,0.736,98.768,0.3611999179959995,0
391,0.403,0.777,0.0354,0.0999,0.149,76.329,0.23686966350655753,0
393,0.576,0.953,0.0362,0.00106,0.303,140.042,0.5898913446993833,0
395,0.751,0.92,0.0826,0.0498,0.668,126.99,0.5175726815862233,0
396,0.655,0.798,0.131,0.000658,0.855,128.103,0.5237396040536573,0
397,0.799,0.783,0.0322,0.0346,0.586,127.041,0.5178552629391785,0
398,0.61,0.835,0.0748,0.0416,0.395,127.904,0.5226369826960477,0
399,0.598,0.875,0.036,0.0907,0.82,128.0,0.5231689005369046,0
400,0.597,0.837,0.375,0.00427,0.447,126.342,0.5139822361604397,0
402,0.546,0.899,0.233,0.00158,0.47,130.003,0.5342671446539485,0
403,0.72,0.925,0.0511,0.0276,0.781,127.004,0.5176502529380149,0
404,0.825,0.897,0.312,0.0982,0.546,128.007,0.5232076862128004,0
